record - dc:cdmid,image_url,record - dc:title,record - dc:cdmfile,record - dc:cdmpath,record - dc:viewerURL,record - dc:cdmcreated,record - dc:cdmmodified,record - dc:format,record - dc:subject,record - dc:publisher,record - dc:type,record - dc:creator,record - width,record - height,record - dc:source,record - dc:language,record - dc:identifier,record - dc:date,record - dc:description,record - dc:coverage,record - dc:relation,related_to,record - illust_tech,record - dc:contributor,record - tag,record - text,record - notes,record - dc:audience
14,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=14,Case History Card with Relief Record,15.cpd,/p4129coll7/image/15.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/14,2004-01-07,2004-01-07,jpeg,Assistance; Infants; Health,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.,21,13,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),,,[1911],Blank form printed on both sides for recording information about family and infant seeking welfare relief and milk assistance.,New York. New York City.,,,,,,,,
15,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=15,Diet for Child from 18th to 24th Month,16.jpg,/p4129coll7/image/16.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/15,2004-02-03,2004-02-03,JPG,Infants; Nutrition; Food; Menus;,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,21,Printed Ephemera of the New York Milk Committee.; Information cards,English,mk1e031m001.jpg,[1911],"Information card describing recommended diet for child aged 18 to 24 months, including suggested foods for breakfast, forenoon snack, dinner and supper.  Includes recommended volume milk to be consumed each day (1.5 quarts).",New York. New York City.,,,,,,,,
16,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=16,Registered Baby,17.cpd,/p4129coll7/image/17.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/16,2003-12-11,2003-12-11,jpg,Infants; Health;,The New York Academy of Medicine,Forms (Documents),New York Milk Committee,13,8,Printed Ephemera of the New York Milk Committee.,English,mk1e024,[1911],Blank card printed on two sides for recording information about an infant registered as eligible for assistance from the New York Milk Committee,New York. New York City.,,,,,,,,
17,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=17,Diet for Child from 2 to 3 Years,18.jpg,/p4129coll7/image/18.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/17,2004-02-03,2004-02-03,JPG,Infants; Nutrition; Food; Menus;,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,21,Printed Ephemera of the New York Milk Committee.; Information cards,English,mk1e032m001.jpg,[1911],"Information card describing recommended diet for child aged 2 to 3 years, including suggested foods for breakfast, dinner and supper.",New York. New York City.,,,,,,,,
18,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=18,Diet for Child from 3 to 6 Years,19.jpg,/p4129coll7/image/19.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/18,2004-02-03,2004-02-03,JPG,Children; Nutrition; Food; Menus;,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,21,Printed Ephemera of the New York Milk Committee.; Information cards,English,mk1e033m001.jpg,[1911],"Information card describing recommended diet for child aged 3 to 6 years, including suggested foods for breakfast, dinner and supper.",New York. New York City.,,,,,,,,
19,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=19,Diet for Child from 12th to 18th Month,20.jpg,/p4129coll7/image/20.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/19,2004-02-03,2004-02-03,JPG,Infants; Nutrition; Food; Menus;,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,21,Printed Ephemera of the New York Milk Committee.; Information cards,English,mk1e030m001.jpg,[1911],"Information card describing recommended diet for infant aged 12 to 18 months, including suggested foods for five meals each day.  Includes recommended daily consumption of milk (1 to 1.25 quarts).",New York. New York City.,,,,,,,,
20,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=20,Babies' Pure Milk and Health Stations,21.jpg,/p4129coll7/image/21.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/20,2003-12-16,2003-12-16,JPG,Infants; Milk; Health care facilities;,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,29,Printed Ephemera of the New York Milk Committee.; Information cards,English,mk1e034m001.jpg,[1911],"Address list of milk stations, education centers and well-baby clinics run by the New York Milk Committee, Nathan Straus Pasteurized Milk Laboratories,  New York Diet Kitchen Association, and Department of Health in Manhattan; the Children's Aid Society and Department of Health in Brooklyn; and the New York Diet Kitchen Association in the Bronx.  Includes description of kind of milk (certified, pasteurized, sterilized etc.) available at each facility.",New York. New York City.,,,,,,,,
21,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=21,Milk formula (English),22.jpg,/p4129coll7/image/22.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/21,2004-01-09,2004-01-09,JPG,Milk; Food; Infants,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,9,Printed Ephemera of the New York Milk Committee.; Blank forms (feeding instructions);,English,mk1e017m001.jpg,[1911],"Blank printed form for recording individualized milk formula for infant receiving aid from the New York Milk Committee's Babies' Pure Milk Stations.  Ingredients for formula include milk top; whole milk; lime water; milk sugar; boiled water; barley water; and oatmeal water.  Includes space for prescribing quantity to be administered and feeding schedule.  [Form ""10,000 5-11, 8-11""]",New York. New York City.,,,Halftone photomechanical prints,,,,,
22,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=22,Milk formula (Italian),23.jpg,/p4129coll7/image/23.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/22,2004-01-07,2004-01-07,JPG,Milk; Food; Infants,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,9,Printed Ephemera of the New York Milk Committee.; Blank forms (feeding instructions);,Italian,mk1e018m001.jpg,[1911],Blank printed form for recording individualized milk formula for infant receiving aid from the New York Milk Committee's Babies' Pure Milk Stations.  Ingredients for formula include milk top; whole milk; lime water; milk sugar; boiled water; barley water; and oatmeal water.  Includes space for prescribing quantity to be administered and feeding schedule.,New York. New York City.,,,,,,,,
23,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=23,Milk formula (Yiddish),24.jpg,/p4129coll7/image/24.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/23,2004-01-07,2004-01-07,JPG,Milk; Food; Infants,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,9,Printed Ephemera of the New York Milk Committee.; Blank forms (feeding instructions);,Yiddish,mk1e019m001.jpg,[1911],Blank printed form for recording individualized milk formula for infant receiving aid from the New York Milk Committee's Babies' Pure Milk Stations.  Ingredients for formula include milk top; whole milk; lime water; milk sugar; boiled water; barley water; and oatmeal water.  Includes space for prescribing quantity to be administered and feeding schedule.,New York. New York City.,,,,,,,,
24,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=24,[Modilac-Merrell advertisement (back)],25.jpg,/p4129coll7/image/25.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/24,2004-01-08,2004-01-08,JPG,Advertisements; Milk; Infants; Food industry;,The New York Academy of Medicine,Advertisements;,Wm. S. Merrell Company.,18,22,Advertisement; Printed Ephemera of the New York Milk Committee.;,English,mk1e029m002.jpg,[1911?],"Back of tri-fold form (package insert?) advertising Modilac milk formula tablets.  Includes information on nutritional differences between cow's milk and human breast milk.  Ingredients of Modilac tablets are given: lactose (1.5 grams); Sodium Chloride (one-twelfth gram); Sodium Bicarbonate (.25 grams); Sodium Phosphate (one-twentieth gram); Potassium Bicarbonate (one-twenty-fourth gram).  Includes directions for use.  Printed by Bonnett & Co., Cincinnati.",Ohio. Cincinnati.,back of mk1e029,mk1e029,Halftone photomechanical prints,,postcard,,,
25,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=25,[Modilac-Merrell advertisment (front)],26.jpg,/p4129coll7/image/26.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/25,2004-01-08,2004-01-08,JPG,Advertisements; Milk; Infants; Food industry;,The New York Academy of Medicine,Advertisements;,Wm. S. Merrell Company.,18,22,Printed Ephemera of the New York Milk Committee.; Advertisement;,English,mk1e029m001.jpg,[1911?],"Front of tri-fold label advertising Modliac milk formula (""Nature's food for the normal baby""), sold in tablet form as ""[a] convenient and accurate method of modifying cow's milk for infant feeding. A modifying unit in tablet form for insertion diretly into the nursing bottle."" Includes recommended feeding schedule for infants aged 2 to 12 months.  Illustrated with images of product packaging and woman preparing formula.",Ohio. Cincinnati.,front of mk1e029,mk1e029,Halftone photomechanical prints,,postcard,,,
26,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=26,[A Letter to Expectant Mothers (English) inside faces],27.jpg,/p4129coll7/image/27.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/26,2004-02-23,2004-02-23,JPG,Pregnancy; Health,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,24,23,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e035m002.jpg,1911,"Circular, printed front and back;locations of hospitals and maternity care clinics chart on p.2.",New York. New York City.,inside faces of mk1e035,mk1e035,,Jonathan Frater,document,"A LETTER TO EXPECTANT MOTHERS<br><br> Dear Mothers:<br> Last year fully five thousand babies died in New York before they were one month old.  They died because they were born too weak to combat the diseases of babyhood.  They were born weak because their mothers did not properly care for themselves during the period of pregnancy; overwork, lack of exercise, in-sufficient or improper nourishment, irregularity in eating and sleeping, worry and nervousness were some of the many causes.<br><br> Every mother desires to have her baby born healthy and strong.  Every baby has right to be so born.  You can do much at this time to insure your baby being born well and strong.  Prepare yourself in advance--be regular in your habits; build yourself up by eating wholesome food; avoid beer, whiskey and drugs; talk to your doctor about yourself, or go to any BABIES' PURE MILK STATION for advice.<br><br> When the time comes for the baby to be born, you must use special care so as not to have your own health or that of your baby impaired.  Remember that one-half of all the blindness in this world is due to improper care of the baby's eyes immediately after birth.<br><br> To avoid having your own health and that of your baby impaired at the time of birth, you will need especial care.  Obtain the best.  It will be worth while.  If you can go to the hospital, do so by all means; there you will receive proper medical and nursing care for yourself and baby.  Select from the list of hospitals given in this circular, the one to which you desire to apply for admission, and make arrangements at least two weeks in advance of the date of confinement. If you cannot leave<br><br> [page break]<br> your home because of other children, go to a ""Blue Front"" BABIES' PURE MILK AND HEALTH STATION for advice; there the nurse will be glad to tell you of hospitals and settlements which will provide medical treatment and nurse services in your own home.  Many agencies will furnish female physicians in desired.  These services can be obtained at a small charge, or free if you cannot afford to pay.<br> Do not forget you owe it to your unborn babe to bring it into the world well and strong. This you can do only if you are willing to learn how.<br><br> [a list of hospitals follows]",,
27,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=27,Milk and Human Kindness (back),28.jpg,/p4129coll7/image/28.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/27,2004-01-13,2004-01-13,JPG,Infants; Health,The New York Academy of Medicine,Circulars;,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,21,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e044m002.jpg,1916,"18 thumbnail photos of babies around circumference; two larger photos along long axis. Caption: ""The Nation That Has The Babies Has The Future ... Save Them and Nourish Them Well"".",New York. New York City.,back of mk1e044,mk1e044,Halftone photomechanical prints;,Jonathan Frater,document,,,
28,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=28,[A Letter to Expectant Mothers (English) back],29.jpg,/p4129coll7/image/29.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/28,2004-03-22,2004-03-22,JPG,Infants; Milk; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e035m003.jpg,1911,List of clinic locations throughout NYC; NYAM stamp in lower right corner.,New York. New York City.,back of mk1e035,mk1e035,,Jonathan Frater,,,,
29,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=29,[A Letter to Expectant Mothers (Yiddish) back],30.jpg,/p4129coll7/image/30.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/29,2004-01-08,2004-01-08,JPG,Milk; Infants; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e036m003.jpg,,Chart giving locations of hospitals and clinics; 1 page.,New York. New York City.,back of mk1e036,mk1e036,,Jonathan Frater,document,,,
30,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=30,Look for the Blue Fronts (English),31.jpg,/p4129coll7/image/31.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/30,2004-01-08,2004-01-08,JPG,Infants; Milk; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,23,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e037m001.jpg,1911,Photos of emaciated and healthy babies (long axis); captions; stamps at top and bottom of card.,New York. New York City.,,,,Jonathan Frater,,,,
31,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=31,Look for the Blue Fronts (Italian),32.jpg,/p4129coll7/image/32.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/31,2004-01-07,2004-01-07,JPG,Infants; Milk; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,23,Printed Ephemera of the New York Milk Committee.; Educational Materials;,Italian,mk1e039m001.jpg,1911,Photos of emaciated and healthy babies (long axis); captions.,New York. New York City.,,,,Jonathan Frater,,,,
32,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=32,Look for the Blue Fronts (Czech),33.jpg,/p4129coll7/image/33.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/32,2004-01-08,2004-01-08,JPG,Infants; Milk; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,23,Printed Ephemera of the New York Milk Committee.; Educational Materials;,Czech,mk1e038m001.jpg,1911,Photos of emaciated and healthy babies (long axis); captions.,New York. New York City.,,,,Jonathan Frater,,,,
33,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=33,Look for the Blue Fronts (Yiddish),34.jpg,/p4129coll7/image/34.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/33,2004-01-07,2004-01-07,JPG,Infants; Milk; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,23,Printed Ephemera of the New York Milk Committee.; Educational Materials;,Yiddish,mk1e040m001.jpg,1911,Photos of emaciated and healthy babies (long axis); captions.,New York. New York City.,,,Halftone photomechanical prints;,Jonathan Frater,,,,
34,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=34,[A Letter to Expectant Mothers (Yiddish) front],35.jpg,/p4129coll7/image/35.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/34,2004-01-08,2004-01-08,JPG,Infants; Mothers; Milk; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,Yiddish,mk1e036m001.jpg,1911,Yiddish caption title;  woman and baby both in white; chair and basket in background; floral wall pattern in background.,New York. New York City.,face of mk1e036,mk1e036,Halftone photomechanical prints;,Jonathan Frater,document,,,
35,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=35,[A Letter to Expectant Mothers (Yiddish) inside faces],36.jpg,/p4129coll7/image/36.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/35,2004-01-07,2004-01-07,JPG,Milk; Mothers; Infants; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,24,23,Printed Ephemera of the New York Milk Committee.; Educational Materials;,Yiddish,mk1e036m002.jpg,1911,Pamphlet printed in Yiddish; 2 pages; hospital & clinic location chart on p. 2.,New York. New York City.,inside faces of mk1e036,mk1e036,,Jonathan Frater,document,,,
36,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=36,Modilac-Merrell advertisment,37.cpd,/p4129coll7/image/37.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/36,2004-01-07,2004-01-07,jpg,Milk; Infants; Food industry,The New York Academy of Medicine,Advertisements,Wm. S. Merrell Company,18,22,Printed Ephemera of the New York Milk Committee.; Advertisement,,mk1e0029,1911,Two-sided advertisment (folded) for milk formula in tablet form.,,,,Halftone photomechanical prints,,,,,
37,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=37,Out of Town (back),38.jpg,/p4129coll7/image/38.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/37,2004-01-08,2004-01-08,JPG,Milk; Infants; Health & welfare; Mothers,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,16,Printed Ephemera of the New York Milk Committee.,English,mk1e001m003.jpg,1911,,New York. New York City.,back of mk1e001,mk1e001,Halftone photomechanical prints;,,document,,,
